11555,㈫,7c,b2,8a,92,8a,b2,7c,00
11556,㈬,7c,8a,9a,aa,ba,8a,7c,00
11557,㈭,7c,ba,a2,b2,8a,b2,7c,00
11558,㈮,7c,9a,a2,b2,aa,92,7c,00
11559,㈯,7c,ba,8a,92,92,92,7c,00
11560,㉀,7c,92,aa,92,aa,92,7c,00
11561,㈷,7c,92,aa,9a,8a,b2,7c,00
11562,㉂,7c,a2,ee,aa,ae,a2,7c,00
11563,㉃,7c,a6,ee,a6,a6,a6,7c,00
11564,㈹,7c,aa,e6,ae,aa,ae,7c,00
11565,㈺,7c,aa,e6,aa,a6,aa,7c,00
11566,㈱,7c,aa,ea,ae,ae,a6,7c,00
11567,㈾,7c,ae,ea,ae,a6,aa,7c,00
11568,㈴,7c,a6,ea,ae,ae,ae,7c,00
11569,㈲,7c,ae,e6,aa,aa,aa,7c,00
11570,㈻,7c,ae,ee,a2,ae,ae,7c,00
11571,㈶,7c,ae,ee,ae,a6,aa,7c,00
11572,㈳,7c,e2,ae,ea,ce,e2,7c,00
11573,㈵,38,10,10,10,10,10,38,00
11574,㈼,7c,28,28,28,28,28,7c,00
11575,㈽,fe,54,54,54,54,54,fe,00
11576,㈿,f6,54,54,54,48,48,e8,00
11577,㈸,c6,44,44,28,28,10,10,00
11578,Y,de,54,54,54,24,24,2e,00
11579,Z,be,b4,b4,b4,54,54,5e,00
11580,[,be,bc,bc,bc,5c,5c,5e,00
11581,¥,f6,54,54,48,54,54,f6,00
11582,],c6,44,28,10,28,44,c6,00
11584,_,e0,00,60,0a,ea,02,04,00
11585,`,40,e0,40,ee,4a,0a,0e,00
11586,a,8c,e0,a2,cc,40,e0,40,00
11587,b,a0,4e,a0,00,8c,cc,96,00
11588,c,76,ae,22,cc,20,50,f0,00
11589,d,80,80,e0,8c,00,02,0c,00
11590,e,f0,56,60,80,60,60,b0,00
11591,f,46,aa,02,6c,bc,4c,96,00
11592,g,a0,ae,22,00,8c,cc,96,00
11593,h,e0,ae,22,40,40,60,40,00
11594,i,ee,6a,ae,00,a0,ae,20,00
11595,j,a8,80,e0,80,14,14,26,00
11596,k,8c,e0,a2,cc,40,60,40,00
11597,l,70,b6,a0,00,94,c6,dc,00
11598,m,ea,6a,72,00,6c,bc,b6,00
11599,n,50,a6,10,c0,d0,20,c0,00
11600,o,00,00,cc,ee,ee,ee,aa,00
11601,p,00,00,6c,8e,8e,8e,6a,00
11602,q,80,80,ac,ae,ce,ae,aa,00
11603,r,00,00,c6,ea,e6,e2,ac,00
11604,s,80,80,a6,aa,c6,a2,ac,00
11605,t,00,00,66,88,88,88,66,00
11606,u,06,02,d4,ae,a8,a8,a8,00
